,Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,X_res,Y_res,ppi,IPS,Touchscreen,HDD,SSD,Hybrid,Flash_Storage
330,MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i7,8,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.7,106603,1920,1080,127.34,0,0,1,256,0,0
331,Toshiba,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,2.0,83842,1920,1080,141.21,1,0,0,256,0,0
332,Asus,Notebook,14.0,Full HD 1920x1080,Intel Core i7,8,256GB SSD +  1TB HDD,Intel HD,Windows 10,2.0,118606,1920,1080,157.35,0,0,1,256,0,0
333,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i3,4,1TB HDD,Intel HD,Windows 10,1.85,39921,1920,1080,141.21,0,0,1,0,0,0
334,Asus,Gaming,15.6,Full HD 1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,2.5,88821,1920,1080,141.21,0,0,0,256,0,0
335,HP,Notebook,14.0,Full HD 1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.48,112738,1920,1080,157.35,0,0,0,256,0,0
336,Dell,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,1.9,93267,1920,1080,141.21,1,0,1,128,0,0
337,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.84,101713,1920,1080,141.21,0,0,0,256,0,0
338,Asus,Notebook,15.6,1366x768,Other Intel Processor,4,1TB HDD,Intel HD,Linux,2.0,24449,1366,768,100.45,0,0,1,0,0,0
339,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows 10,2.0,101602,1920,1080,141.21,0,0,0,256,0,0
340,Dell,Notebook,15.6,1366x768,Other Intel Processor,4,500GB HDD,Intel HD,Linux,2.2,24441,1366,768,100.45,0,0,500,0,0,0
341,Lenovo,Notebook,15.6,Full HD 1920x1080,AMD A-Series,12,2TB HDD,AMD Radeon,Windows 10,2.2,79930,1920,1080,141.21,0,0,2,0,0,0
342,HP,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i3,8,1TB HDD,Nvidia GeForce,Windows 10,2.1,63660,1920,1080,141.21,1,0,1,0,0,0
344,Dell,Ultrabook,13.3,Full HD 1920x1080,Intel Core i7,8,256GB SSD,Intel UHD,Windows 10,1.2,140389,1920,1080,165.63,0,0,0,256,0,0
345,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7,16,256GB SSD +  2TB HDD,Nvidia GeForce,Windows 10,2.4,100379,1920,1080,141.21,1,0,2,256,0,0
346,HP,Notebook,14.0,1366x768,Other Intel Processor,2,32GB Flash Storage,Intel HD,Windows 10,1.44,24806,1366,768,111.94,0,0,0,0,0,32
347,Dell,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7,16,512GB SSD +  256GB SSD,Intel UHD,Windows 10,1.88,142964,1920,1080,141.21,0,0,0,768,0,0
348,Asus,2 in 1 Convertible,11.6,Touchscreen 1366x768,Other Intel Processor,4,32GB Flash Storage,Intel HD,Windows 10,1.5,33341,1366,768,135.09,0,1,0,0,0,32
349,Dell,Ultrabook,15.6,Full HD 1920x1080,Intel Core i5,8,1TB HDD,AMD Radeon,Windows 10,1.9,58947,1920,1080,141.21,0,0,1,0,0,0
350,Dell,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows 10,2.06,180258,3840,2160,282.42,0,1,0,512,0,0
351,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,1.84,115939,1920,1080,141.21,0,0,0,256,0,0
352,MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.7,125274,1920,1080,127.34,0,0,1,128,0,0
353,HP,Workstation,15.6,Full HD 1920x1080,Intel Core i7,8,256GB SSD,Nvidia Quadro,Windows 10,2.6,154550,1920,1080,141.21,0,0,0,256,0,0
354,Toshiba,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows 10,2.4,124741,1920,1080,141.21,1,0,0,512,0,0
355,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7,8,128GB SSD +  2TB HDD,AMD Radeon,Windows 10,2.02,86323,1920,1080,141.21,0,0,2,128,0,0
356,Lenovo,Notebook,15.6,1366x768,Other Intel Processor,4,1TB HDD,Intel HD,No OS,2.2,28628,1366,768,100.45,0,0,1,0,0,0
357,Dell,Gaming,15.6,Full HD 1920x1080,Intel Core i5,8,1TB HDD,Nvidia GeForce,Windows 10,2.65,88821,1920,1080,141.21,0,0,1,0,0,0
358,Dell,Notebook,15.6,Touchscreen 1366x768,Intel Core i5,8,2TB HDD,Intel HD,Windows 10,2.36,49556,1366,768,100.45,0,1,2,0,0,0
359,Dell,Notebook,14.0,Full HD 1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.36,126875,1920,1080,157.35,0,0,0,256,0,0
360,HP,Notebook,15.6,1366x768,Intel Core i3,4,500GB HDD,Intel HD,Windows 10,1.86,39031,1366,768,100.45,0,0,500,0,0,0
361,Asus,Notebook,14.0,Full HD 1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,2.0,84020,1920,1080,157.35,0,0,0,256,0,0
362,Lenovo,Notebook,17.3,1600x900,Intel Core i5,6,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.8,63926,1600,900,106.11,0,0,1,128,0,0
363,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5,8,1TB HDD,Intel HD,Windows 10,1.86,56813,1920,1080,141.21,0,0,1,0,0,0
364,Lenovo,Notebook,15.6,1366x768,Intel Core i3,8,256GB SSD,Nvidia GeForce,No OS,2.2,44366,1366,768,100.45,0,0,0,256,0,0
365,HP,Notebook,15.6,1366x768,Other Intel Processor,8,2TB HDD,Intel HD,Windows 10,2.04,34586,1366,768,100.45,0,0,2,0,0,0
366,Dell,Notebook,17.3,Full HD 1920x1080,Intel Core i5,8,128GB SSD +  1TB HDD,AMD Radeon,Windows 10,2.8,96467,1920,1080,127.34,0,0,1,128,0,0
367,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,No OS,2.4,71928,1920,1080,141.21,1,0,1,128,0,0
368,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7,8,256GB SSD,AMD Radeon,Windows 10,2.33,79930,1920,1080,141.21,0,0,0,256,0,0
369,HP,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,1.36,155592,1920,1080,157.35,1,0,0,256,0,0
370,Asus,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,Intel Core i7,12,512GB SSD +  2TB HDD,Nvidia GeForce,Windows 10,2.26,97712,1920,1080,141.21,0,1,2,512,0,0
371,Acer,Notebook,15.6,1366x768,AMD A-Series,4,128GB SSD,AMD Radeon,Windows 10,2.1,37876,1366,768,100.45,0,0,0,128,0,0
372,Asus,Gaming,17.3,IPS Panel Full HD 1920x1080,AMD Ryzen Series,16,256GB SSD +  1TB HDD,AMD Radeon,Windows 10,3.25,195513,1920,1080,127.34,1,0,1,256,0,0
373,Lenovo,Notebook,17.3,1600x900,AMD A-Series,4,128GB SSD,AMD Radeon,Windows 10,2.6,43477,1600,900,106.11,0,0,0,128,0,0
374,Dell,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7,8,256GB SSD,Intel UHD,Windows 10,1.62,77264,1920,1080,165.63,0,1,0,256,0,0
375,HP,Notebook,15.6,Full HD 1920x1080,AMD A-Series,4,256GB SSD,AMD Radeon,Windows 10,1.91,43476,1920,1080,141.21,0,0,0,256,0,0
376,Lenovo,Netbook,11.6,IPS Panel 1366x768,Other Intel Processor,4,128GB SSD,Intel HD,Windows 10,1.59,49167,1366,768,135.09,1,0,0,128,0,0
377,Dell,Notebook,15.6,1366x768,Other Intel Processor,4,500GB HDD,Intel HD,Windows 10,1.8,27473,1366,768,100.45,0,0,500,0,0,0
378,Asus,Notebook,14.0,1366x768,Other Intel Processor,4,32GB Flash Storage,Intel HD,Windows 10,1.5,25428,1366,768,111.94,0,0,0,0,0,32
379,Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i7,8,1TB HDD,Nvidia GeForce,Linux,2.4,75218,1920,1080,141.21,0,0,1,0,0,0
380,HP,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,3.35,105892,1920,1080,127.34,1,0,1,128,0,0
381,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i3,4,128GB SSD,Intel HD,No OS,1.85,35875,1920,1080,141.21,0,0,0,128,0,0
382,Asus,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.3,147146,1920,1080,141.21,1,0,1,128,0,0
383,Lenovo,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows 10,1.5,97712,1920,1080,157.35,1,0,0,256,0,0
384,Asus,Ultrabook,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7,16,512GB SSD,Intel HD,Windows 10,1.1,155495,1920,1080,165.63,0,1,0,512,0,0
385,Lenovo,Ultrabook,14.0,IPS Panel 2560x1440,Intel Core i7,8,512GB SSD,Intel HD,Windows 10,1.13,202893,2560,1440,209.8,1,0,0,512,0,0
386,Lenovo,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i3,4,128GB SSD,Intel HD,Windows 10,1.5,48812,1920,1080,165.63,1,0,0,128,0,0
387,Dell,Workstation,15.6,Full HD 1920x1080,Intel Core i5,8,500GB HDD,AMD FirePro,Windows 10,2.23,121718,1920,1080,141.21,0,0,500,0,0,0
388,Dell,Workstation,15.6,IPS Panel Full HD 1920x1080,Intel Core i7,8,256GB SSD,Nvidia Quadro,Windows 10,2.0,189823,1920,1080,141.21,1,0,0,256,0,0
389,Lenovo,2 in 1 Convertible,14.0,Touchscreen 2560x1440,Intel Core i7,16,512GB SSD,Intel HD,Windows 10,1.42,223075,2560,1440,209.8,0,1,0,512,0,0
390,Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows 10,3.0,92377,1920,1080,127.34,0,0,1,0,0,0
391,Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,3.0,141456,1920,1080,127.34,0,0,1,256,0,0
392,Acer,Notebook,15.6,IPS Panel 1366x768,Intel Core i5,12,1TB HDD,Nvidia GeForce,Windows 10,2.2,61703,1366,768,100.45,1,0,1,0,0,0
393,MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,2.7,119940,1920,1080,127.34,0,0,0,256,0,0
394,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7,8,256GB SSD,AMD Radeon,Linux,2.33,69249,1920,1080,141.21,0,0,0,256,0,0
395,HP,Ultrabook,15.6,Full HD 1920x1080,AMD A-Series,4,256GB SSD,AMD Radeon,Windows 10,1.91,44366,1920,1080,141.21,0,0,0,256,0,0
396,Lenovo,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7,8,256GB SSD,AMD Radeon,Windows 10,2.1,109320,1920,1080,141.21,1,0,0,256,0,0
397,Lenovo,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.9,83398,1920,1080,157.35,1,0,0,256,0,0
398,Dell,Workstation,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7,8,256GB SSD,Nvidia Quadro,Windows 10,1.78,241124,3840,2160,282.42,0,1,0,256,0,0
399,Lenovo,Ultrabook,14.0,IPS Panel 2560x1440,Intel Core i7,16,1TB SSD,Intel HD,Windows 10,1.13,233389,2560,1440,209.8,1,0,0,1,0,0
400,Lenovo,Notebook,15.6,1366x768,Other Intel Processor,4,1TB HDD,Intel HD,Windows 10,2.2,27206,1366,768,100.45,0,0,1,0,0,0
401,Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.9,135943,1920,1080,127.34,0,0,1,256,0,0
402,Lenovo,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5,8,256GB SSD +  1TB HDD,AMD Radeon,Windows 10,2.1,101757,1920,1080,141.21,1,0,1,256,0,0
403,Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce,Linux,2.5,78152,1920,1080,141.21,0,0,0,256,0,0
404,MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.8,199959,1920,1080,127.34,0,0,1,256,0,0
405,Asus,Ultrabook,14.0,Full HD 1920x1080,Intel Core i7,8,512GB SSD,Intel HD,Windows 10,1.1,166528,1920,1080,157.35,0,0,0,512,0,0
406,Toshiba,Ultrabook,13.3,Full HD 1920x1080,Intel Core i7,16,512GB SSD,Intel HD,Windows 10,1.2,155326,1920,1080,165.63,0,0,0,512,0,0
407,Dell,Ultrabook,14.0,Full HD 1920x1080,Intel Core i7,8,512GB SSD,Intel HD,Windows 10,1.36,149369,1920,1080,157.35,0,0,0,512,0,0
408,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i3,4,500GB HDD,Intel HD,Windows 10,2.2,36364,1920,1080,141.21,0,0,500,0,0,0
409,Lenovo,Notebook,11.6,1366x768,Other Intel Processor,2,32GB Flash Storage,Intel HD,Windows 10,1.15,27069,1366,768,135.09,0,0,0,0,0,32
410,Lenovo,Workstation,15.6,Full HD 1920x1080,Intel Core i7,8,512GB SSD,Nvidia Quadro,Windows 10,2.67,171152,1920,1080,141.21,0,0,0,512,0,0
411,Lenovo,Ultrabook,14.0,IPS Panel Full HD 2560x1440,Intel Core i7,8,512GB SSD,Nvidia GeForce,Windows 10,1.7,172752,2560,1440,209.8,1,0,0,512,0,0
412,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i3,4,1TB HDD,AMD Radeon,Windows 10,2.1,41699,1920,1080,141.21,0,0,1,0,0,0
413,Acer,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,1.6,70151,1920,1080,165.63,1,1,0,256,0,0
414,Asus,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.27,82508,1920,1080,165.63,1,1,0,256,0,0
415,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5,4,256GB SSD,AMD Radeon,Linux,2.3,53248,1920,1080,141.21,0,0,0,256,0,0
416,Dell,Notebook,13.3,1366x768,Intel Core i3,4,128GB SSD,Intel HD,Windows 10,1.65,61259,1366,768,117.83,0,0,0,128,0,0
417,HP,Ultrabook,14.0,Full HD 1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,1.43,133365,1920,1080,157.35,0,0,0,256,0,0
418,Dell,Notebook,15.6,1366x768,Intel Core i5,8,1TB HDD,Intel HD,Windows 10,2.14,48007,1366,768,100.45,0,0,1,0,0,0
419,Lenovo,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i7,8,256GB SSD,AMD Radeon,Windows 10,1.75,108059,1920,1080,157.35,1,0,0,256,0,0
420,Lenovo,2 in 1 Convertible,15.6,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows 10,2.0,168840,3840,2160,282.42,1,1,0,512,0,0
422,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,2.31,126875,1920,1080,141.21,0,0,0,256,0,0
423,Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i3,8,1TB HDD,Nvidia GeForce,Linux,2.3,53079,1920,1080,141.21,0,0,1,0,0,0
424,Dell,Gaming,17.3,IPS Panel 2560x1440,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,4.42,248859,2560,1440,169.78,1,0,1,256,0,0
425,Dell,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.62,103047,1920,1080,141.21,1,0,1,128,0,0
426,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7,8,256GB SSD +  2TB HDD,AMD Radeon,Windows 10,2.02,101571,1920,1080,141.21,0,0,2,256,0,0
427,Dell,Ultrabook,14.0,Full HD 1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Linux,1.6,97712,1920,1080,157.35,0,0,0,256,0,0
428,HP,Gaming,17.3,Full HD 1920x1080,Intel Core i7,12,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,3.35,177731,1920,1080,127.34,0,0,1,256,0,0
431,Lenovo,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,1.4,89799,1920,1080,165.63,1,0,0,256,0,0
432,Lenovo,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i3,4,128GB SSD,Intel HD,Windows 10,1.7,53257,1920,1080,157.35,1,0,0,128,0,0
433,Lenovo,Workstation,15.6,IPS Panel 4K Ultra HD 3840x2160,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows 10,2.3,217385,3840,2160,282.42,1,0,0,512,0,0
434,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i7,16,512GB SSD,Nvidia Quadro,Windows 10,2.5,217741,1920,1080,141.21,0,0,0,512,0,0
435,Asus,Gaming,17.3,Full HD 1920x1080,AMD Ryzen Series,8,256GB SSD +  1TB HDD,AMD Radeon,Windows 10,3.2,150702,1920,1080,127.34,0,0,1,256,0,0
436,HP,Notebook,15.6,1366x768,Other Intel Processor,4,500GB HDD,Intel HD,Windows 10,2.1,30852,1366,768,100.45,0,0,500,0,0,0
438,Lenovo,Ultrabook,14.0,2560x1440,Intel Core i7,24,512GB SSD,Intel HD,Windows 10,1.32,211784,2560,1440,209.8,0,0,0,512,0,0
439,Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i5,4,256GB SSD,Intel HD,Linux,2.0,49701,1920,1080,141.21,0,0,0,256,0,0
440,Lenovo,Notebook,17.3,1600x900,AMD A-Series,8,1TB HDD,AMD Radeon,Windows 10,2.8,46144,1600,900,106.11,0,0,1,0,0,0
441,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5,4,256GB SSD,AMD Radeon,Windows 10,2.2,66594,1920,1080,141.21,0,0,0,256,0,0
442,Lenovo,Ultrabook,12.5,IPS Panel Full HD 1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.36,127052,1920,1080,176.23,1,0,0,256,0,0
443,Lenovo,Notebook,15.6,Full HD 1920x1080,Other Intel Processor,4,128GB SSD,Intel HD,Windows 10,2.2,31030,1920,1080,141.21,0,0,0,128,0,0
444,HP,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.2,97712,1920,1080,141.21,1,0,1,128,0,0
445,Dell,Notebook,14.0,Full HD 1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows 10,1.64,104825,1920,1080,157.35,0,0,0,256,0,0
446,Acer,Notebook,15.6,1366x768,Intel Core i5,4,500GB HDD,Intel HD,Linux,2.4,39280,1366,768,100.45,0,0,500,0,0,0
447,Dell,Workstation,15.6,Full HD 1920x1080,Other Intel Processor,8,64GB Flash Storage +  1TB HDD,Nvidia Quadro,Windows 10,2.23,177198,1920,1080,141.21,0,0,1,0,0,64
448,MSI,Gaming,15.6,Full HD 1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows 10,2.2,91376,1920,1080,141.21,0,0,0,256,0,0
450,HP,Notebook,15.6,1366x768,Intel Core i5,8,128GB SSD,Intel HD,Windows 10,1.91,52368,1366,768,100.45,0,0,0,128,0,0
451,Dell,Workstation,15.6,IPS Panel Full HD 1920x1080,Intel Core i7,16,256GB SSD,Nvidia Quadro,Windows 10,2.17,175597,1920,1080,141.21,1,0,0,256,0,0
452,HP,Workstation,15.6,IPS Panel Full HD 1920x1080,Intel Core i7,8,512GB SSD,Intel HD,Windows 10,2.31,136388,1920,1080,141.21,1,0,0,512,0,0
453,Lenovo,Notebook,14.0,Full HD 1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.65,119584,1920,1080,157.35,0,0,0,256,0,0
454,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,AMD Radeon,Windows 10,2.36,87043,1920,1080,141.21,0,0,1,128,0,0
455,Dell,2 in 1 Convertible,11.6,Touchscreen 1366x768,Other Intel Processor,4,500GB HDD,Intel HD,Windows 10,1.47,42588,1366,768,135.09,0,1,500,0,0,0
456,Dell,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows 10,4.42,181910,1920,1080,127.34,1,0,1,0,0,0
459,HP,Notebook,17.3,1600x900,Intel Core i3,8,256GB SSD,Intel HD,Windows 10,2.5,56894,1600,900,106.11,0,0,0,256,0,0
460,Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i3,4,1TB HDD,Nvidia GeForce,Windows 10,2.23,48367,1920,1080,141.21,0,0,1,0,0,0
461,Acer,Netbook,11.6,1366x768,Other Intel Processor,4,128GB SSD,Intel HD,Windows 10,1.4,38676,1366,768,135.09,0,0,0,128,0,0
462,Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i5,8,1TB HDD,Intel HD,Windows 10,2.37,66594,1920,1080,141.21,0,0,1,0,0,0
463,Lenovo,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i7,8,512GB SSD,AMD Radeon,No OS,1.5,71039,1920,1080,157.35,1,0,0,512,0,0
464,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i7,8,256GB SSD,Nvidia Quadro,Windows 10,2.67,185822,1920,1080,141.21,0,0,0,256,0,0
465,Asus,Notebook,15.6,1366x768,Other Intel Processor,4,500GB HDD,Intel HD,Windows 10,2.0,27029,1366,768,100.45,0,0,500,0,0,0
466,Acer,Notebook,15.6,1366x768,Intel Core i3,4,500GB HDD,Nvidia GeForce,Windows 10,2.2,41699,1366,768,100.45,0,0,500,0,0,0
467,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5,8,2TB HDD,AMD Radeon,Windows 10,2.02,67483,1920,1080,141.21,0,0,2,0,0,0
468,HP,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7,12,1TB HDD,Nvidia GeForce,Windows 10,3.78,151058,1920,1080,127.34,1,0,1,0,0,0
469,Lenovo,Ultrabook,14.0,IPS Panel Quad HD+ 2560x1440,Intel Core i7,12,256GB SSD,Intel HD,Windows 10,1.4,165195,2560,1440,209.8,1,0,0,256,0,0
470,HP,2 in 1 Convertible,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7,8,512GB SSD,Intel UHD,Windows 10,1.29,177731,3840,2160,331.26,1,1,0,512,0,0
471,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5,8,500GB HDD,AMD FirePro,Windows 10,1.9,102602,1920,1080,141.21,0,0,500,0,0,0
473,Dell,Ultrabook,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.42,163759,1920,1080,165.63,0,1,0,256,0,0
474,Asus,Notebook,15.6,IPS Panel 4K Ultra HD 3840x2160,Intel Core i7,12,128GB SSD +  1TB HDD,Intel HD,Windows 10,2.06,115494,3840,2160,282.42,1,0,1,128,0,0
475,Dell,Notebook,14.0,1366x768,Intel Core i3,8,128GB SSD,Intel HD,Windows 10,1.79,65793,1366,768,111.94,0,0,0,128,0,0
476,Dell,Workstation,15.6,Full HD 1920x1080,Intel Core i7,8,256GB SSD,Nvidia Quadro,Windows 10,1.78,214095,1920,1080,141.21,0,0,0,256,0,0
477,Lenovo,Notebook,14.0,Full HD 1920x1080,Intel Core i5,8,180GB SSD,Intel HD,Windows 10,1.7,121273,1920,1080,157.35,0,0,0,180,0,0
478,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5,8,1TB HDD,AMD Radeon,Windows 10,2.2,60014,1920,1080,141.21,0,0,1,0,0,0
479,Toshiba,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.05,148658,1920,1080,165.63,1,0,0,256,0,0
480,Dell,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7,8,512GB SSD,Nvidia GeForce,Windows 10,2.16,112204,1920,1080,141.21,1,0,0,512,0,0
481,Dell,Notebook,15.6,1366x768,Intel Core i3,4,1TB HDD,Intel HD,Windows 10,2.18,52155,1366,768,100.45,0,0,1,0,0,0
482,HP,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5,4,128GB SSD,Intel UHD,Windows 10,1.49,64549,1920,1080,165.63,1,0,0,128,0,0
484,Lenovo,Notebook,15.6,1366x768,Intel Core i3,4,128GB SSD,Intel HD,Windows 10,2.3,50234,1366,768,100.45,0,0,0,128,0,0
485,Lenovo,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.75,93267,1920,1080,157.35,1,0,0,256,0,0
486,Dell,Workstation,15.6,IPS Panel Full HD 1920x1080,Intel Core i7,16,512GB SSD,Nvidia Quadro,Windows 10,2.17,207872,1920,1080,141.21,1,0,0,512,0,0
487,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows 10,2.06,168840,1920,1080,141.21,0,0,0,512,0,0
488,Lenovo,Ultrabook,12.5,IPS Panel Full HD 1920x1080,Intel Core i7,16,512GB SSD,Intel HD,Windows 10,1.36,159860,1920,1080,176.23,1,0,0,512,0,0
489,Asus,Ultrabook,12.5,Full HD 1920x1080,Intel Core i7,16,512GB SSD,Intel HD,Windows 10,0.91,173374,1920,1080,176.23,0,0,0,512,0,0
490,Lenovo,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows 10,2.3,89976,1920,1080,141.21,1,0,0,256,0,0
491,Toshiba,Ultrabook,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7,32,512GB SSD,Intel HD,Windows 10,1.05,248859,1920,1080,165.63,0,1,0,512,0,0
492,Asus,Gaming,15.6,Full HD 1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,1.99,120028,1920,1080,141.21,0,0,1,128,0,0
493,Acer,Notebook,15.6,1366x768,AMD A-Series,8,1TB HDD,AMD Radeon,Windows 10,2.2,51479,1366,768,100.45,0,0,1,0,0,0
494,Asus,Gaming,17.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7,24,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,4.33,112827,1920,1080,127.34,1,1,1,256,0,0
